ENSMUSG00000101093.2	0	0	0
ENSMUSG00000070960.5	2	1	1
ENSMUSG00000088620.3	0	0	0
ENSMUSG00000082159.3	0	0	0
ENSMUSG00000026058.12	0	0	0
ENSMUSG00000064688.3	0	0	0
ENSMUSG00000103482.2	0	0	0
ENSMUSG00000104498.2	0	0	0
ENSMUSG00000104313.2	0	0	0
ENSMUSG00000102865.2	2	1	1
ENSMUSG00000102321.2	0	0	0
ENSMUSG00000091318.3	19	9	10
ENSMUSG00000089489.3	0	0	0
ENSMUSG00000104433.2	0	0	0
ENSMUSG00002076392.1	0	0	0
ENSMUSG00000102926.2	5	0	5
ENSMUSG00000100497.2	0	0	0
ENSMUSG00000102917.2	0	0	0
ENSMUSG00000100481.2	2	2	0
ENSMUSG00000100590.2	0	0	0
ENSMUSG00000088750.3	0	0	0
ENSMUSG00000104230.2	0	0	0
ENSMUSG00000101754.3	0	0	0
ENSMUSG00000065223.4	0	0	0
ENSMUSG00000100318.3	0	0	0
ENSMUSG00000101612.3	11	8	3
ENSMUSG00000065260.3	0	0	0
ENSMUSG00000026134.12	168	93	75
ENSMUSG00000101682.2	1	0	1
ENSMUSG00000102714.2	0	0	0
ENSMUSG00000102093.2	0	0	0
ENSMUSG00000103746.3	8	5	3
ENSMUSG00000102198.2	0	0	0
ENSMUSG00000121274.1	2	48	40
ENSMUSG00000004768.15	934	520	500
ENSMUSG00000042215.9	2688	1716	1793
ENSMUSG00000103072.2	11	433	399
ENSMUSG00000042197.14	2126	1070	1056
ENSMUSG00000081402.5	9	5	4
ENSMUSG00000042182.17	82	36	46
ENSMUSG00000104416.2	2	1	1
ENSMUSG00000026131.22	59592	31077	31773
ENSMUSG00000103596.2	0	0	0
ENSMUSG00000099382.2	0	0	0
ENSMUSG00000084506.3	0	0	0
ENSMUSG00000103364.2	9	7	2
ENSMUSG00000105982.3	0	0	0
ENSMUSG00000096992.4	0	131	143
ENSMUSG00000103001.2	0	1520	1464
ENSMUSG00000104397.2	4	1	3
ENSMUSG00000102839.2	0	0	0
ENSMUSG00000101206.2	0	0	0
ENSMUSG00000101462.3	38	19	19
ENSMUSG00000102336.3	86	37	49
ENSMUSG00000092852.3	0	0	0
ENSMUSG00000042111.10	1625	837	788
ENSMUSG00000101711.2	0	193	163
ENSMUSG00000026127.14	2023	1171	1208
ENSMUSG00000026126.16	132	184	204
ENSMUSG00000100280.4	24	145	135
ENSMUSG00000101223.8	14	4	10
ENSMUSG00000026125.10	1	0	1
ENSMUSG00000101116.2	0	0	0
ENSMUSG00000026124.5	0	0	0
ENSMUSG00000101803.2	0	0	0
ENSMUSG00000037529.14	0	0	0
ENSMUSG00000045815.5	0	0	0
ENSMUSG00000045174.11	0	0	0
ENSMUSG00000100524.2	0	0	0
ENSMUSG00000102499.2	0	0	0
ENSMUSG00000103521.2	0	0	0
ENSMUSG00000104098.2	0	0	0
ENSMUSG00000037509.22	42	80	73
ENSMUSG00000102537.2	1	0	1
ENSMUSG00000102612.2	0	0	0
ENSMUSG00000118272.2	0	0	0
ENSMUSG00000104002.3	15	21	20
ENSMUSG00000037503.13	7308	3856	3668
ENSMUSG00000104358.2	47	91	89
ENSMUSG00000026123.12	12392	6337	6055
ENSMUSG00000103716.2	0	0	0
ENSMUSG00000103548.2	3	2	1
ENSMUSG00000103760.2	0	0	0
ENSMUSG00000103997.2	0	0	0
ENSMUSG00000077231.3	0	0	0
ENSMUSG00000104417.2	0	0	0
ENSMUSG00000064601.3	0	0	0
ENSMUSG00000101714.2	0	0	0
ENSMUSG00000102531.2	22	7	15
ENSMUSG00000103096.2	0	0	0
ENSMUSG00000102279.2	0	0	0
ENSMUSG00000103708.3	0	0	0
ENSMUSG00000104201.2	0	0	0
ENSMUSG00000102434.2	0	0	0
ENSMUSG00000045216.8	2420	1612	1639
ENSMUSG00000104523.2	0	397	434
ENSMUSG00000102202.3	34	18	16
ENSMUSG00000037470.15	5559	2761	2798
ENSMUSG00000098752.3	0	0	0
ENSMUSG00000047180.9	801	403	398
ENSMUSG00000037447.17	937	468	469
ENSMUSG00000102762.2	13	10	3
ENSMUSG00000010453.13	8067	3977	4090
ENSMUSG00000098680.3	0	0	0
ENSMUSG00000037432.16	641	337	341
ENSMUSG00000001143.14	2958	1475	1520
ENSMUSG00000037408.11	670	337	333
ENSMUSG00000104316.2	1	0	1
ENSMUSG00002075980.1	0	0	0
ENSMUSG00000001138.14	1639	904	793
ENSMUSG00000102845.2	0	26	32
ENSMUSG00000067653.13	112	59	53
ENSMUSG00000109510.2	8	1	7
ENSMUSG00000079610.10	535	278	257
ENSMUSG00000026121.14	2559	1274	1307
ENSMUSG00000087589.4	0	14	13
ENSMUSG00000046337.18	11	11	5
ENSMUSG00000089906.2	0	0	0
ENSMUSG00002075377.1	0	0	0
ENSMUSG00000061518.12	59310	30552	28758
ENSMUSG00000037351.10	10904	5513	5391
ENSMUSG00000102416.5	0	2	0
ENSMUSG00000104237.2	0	0	2
ENSMUSG00000026117.11	40	18	22
ENSMUSG00000097291.2	2	0	2
ENSMUSG00000026116.12	5501	2729	2772
ENSMUSG00000103016.2	0	0	0
ENSMUSG00000102930.2	6	1	5
ENSMUSG00000103159.2	0	0	0
ENSMUSG00000080054.4	1	0	1
ENSMUSG00000119706.1	0	0	0
ENSMUSG00000050122.21	18	7	11
ENSMUSG00000103603.2	0	0	0
ENSMUSG00000026114.15	473	221	252
ENSMUSG00000102231.2	0	0	0
ENSMUSG00000026113.18	2904	1472	1432
ENSMUSG00000086064.2	0	0	0
ENSMUSG00000102879.2	0	0	0
ENSMUSG00000026112.8	18510	9480	9030
ENSMUSG00000026111.16	1999	949	1050
ENSMUSG00000026110.16	1869	922	947
ENSMUSG00000103948.2	6	4	2
ENSMUSG00000087233.2	1	1	0
ENSMUSG00000026090.17	103	50	53
ENSMUSG00000089767.2	2	2	0
ENSMUSG00000104365.2	0	0	0
ENSMUSG00000102650.2	0	0	0
ENSMUSG00000060771.16	642	324	318
ENSMUSG00000097268.2	0	0	0
ENSMUSG00000037216.6	430	359	349
ENSMUSG00000026088.16	395	326	347
ENSMUSG00000026087.12	11617	5731	5886
ENSMUSG00000061584.7	0	0	0
ENSMUSG00000087374.2	0	0	0
ENSMUSG00000026085.12	0	0	0
ENSMUSG00002076708.1	0	0	0
ENSMUSG00000058407.13	3960	2003	1957
ENSMUSG00000026083.13	12134	6583	6594
ENSMUSG00000026082.12	1180	1163	1060
ENSMUSG00000103804.2	23	15	8
ENSMUSG00000102716.2	0	0	0
ENSMUSG00000037138.19	429	212	217
ENSMUSG00000085391.2	0	0	0
ENSMUSG00000085280.2	0	0	0
ENSMUSG00000087131.8	18	6	12
ENSMUSG00000102984.2	0	0	0
ENSMUSG00000102541.2	0	0	0
ENSMUSG00000103531.2	0	0	0
ENSMUSG00000048814.12	1329	673	656
ENSMUSG00000026080.15	38	18	20
ENSMUSG00000103647.2	0	0	0
ENSMUSG00000102447.2	0	0	0
ENSMUSG00000067604.9	0	0	0
ENSMUSG00000026078.11	3846	1879	1967
ENSMUSG00000103046.2	126	60	66
ENSMUSG00000104188.2	0	0	0
ENSMUSG00000103182.2	0	0	0
ENSMUSG00000098833.3	0	0	0
ENSMUSG00000026077.16	736	373	363
ENSMUSG00000092553.2	4	1	3
ENSMUSG00000092563.2	1	0	1
ENSMUSG00000073702.12	11873	5949	6025
ENSMUSG00000003134.11	1215	647	669
ENSMUSG00000102607.2	0	0	0
ENSMUSG00000065629.4	0	0	0
ENSMUSG00002076218.1	0	0	0
ENSMUSG00000003135.16	2077	1016	1062
ENSMUSG00000085894.2	69	37	32
ENSMUSG00000077704.3	9	4	5
ENSMUSG00000048234.14	648	334	315
ENSMUSG00000064936.3	0	0	0
ENSMUSG00000102471.2	0	0	0
ENSMUSG00000050967.6	2	5	0
ENSMUSG00000097083.2	2	1	4
ENSMUSG00000057173.9	36	17	19
ENSMUSG00000091937.4	325	188	137
ENSMUSG00000101634.7	41	32	9
ENSMUSG00000026074.16	15553	7700	7853
ENSMUSG00000102985.2	5	1	4
ENSMUSG00000026073.14	10	8	2
ENSMUSG00000097899.3	2	1	1
ENSMUSG00000102975.2	0	0	0
ENSMUSG00000026072.13	1896	939	957
ENSMUSG00000103560.2	1	1	0
ENSMUSG00000070942.9	254	111	143
ENSMUSG00000103230.2	6	2	4
ENSMUSG00000026069.16	176	93	83
ENSMUSG00000026070.17	41	21	20
ENSMUSG00000026068.12	37	18	19
ENSMUSG00000104441.2	0	0	0
ENSMUSG00000026065.9	21	23	12
ENSMUSG00000102676.2	20	13	21
ENSMUSG00000026062.13	652	324	328
ENSMUSG00000103679.2	4	3	1
ENSMUSG00000103270.3	1	36	39
ENSMUSG00000041945.13	33	58	49
ENSMUSG00000079588.4	21928	10966	10962
ENSMUSG00000094136.3	0	0	0
ENSMUSG00000104072.2	0	0	0
ENSMUSG00000100185.2	0	0	0
ENSMUSG00000100832.3	0	0	0
ENSMUSG00000100178.2	0	0	0
ENSMUSG00000101877.2	0	0	0
ENSMUSG00000053640.3	0	0	0
ENSMUSG00000101919.2	0	0	0
ENSMUSG00000101299.4	4	0	4
ENSMUSG00000100180.2	0	0	0
ENSMUSG00000103106.2	0	0	0
ENSMUSG00000060424.16	0	0	3
ENSMUSG00000104199.2	0	0	0
ENSMUSG00000121019.1	0	3	0
ENSMUSG00000045515.5	2	2	0
ENSMUSG00000093436.7	0	0	0
ENSMUSG00000097063.5	0	0	0
ENSMUSG00000099784.2	0	0	0
ENSMUSG00000060679.15	6690	3382	3308
ENSMUSG00000077448.3	0	0	0
ENSMUSG00000041907.10	1	0	1
ENSMUSG00002075628.1	0	0	0
ENSMUSG00000070939.10	2858	1471	1396
ENSMUSG00000100269.2	3	2	1
ENSMUSG00000041878.4	15	13	11
ENSMUSG00000010290.8	3176	1543	1633
ENSMUSG00000008136.15	145914	74459	72389
ENSMUSG00000094497.2	133	75	72
ENSMUSG00000120601.1	243	563	600
ENSMUSG00000099576.2	45	21	24
ENSMUSG00000099694.2	0	0	0
ENSMUSG00000101923.2	1	0	1
ENSMUSG00000066877.12	1738	861	877
ENSMUSG00000103422.2	0	0	0
ENSMUSG00000103945.2	44	16	28
ENSMUSG00000026051.9	156	88	68
ENSMUSG00000100764.2	1	4	3
ENSMUSG00000100635.2	8	7	7
ENSMUSG00000100480.2	4	1	3
ENSMUSG00000057363.13	1163	596	567
ENSMUSG00000090243.2	0	0	0
ENSMUSG00000100701.2	3	0	3
ENSMUSG00000101395.2	0	0	0
ENSMUSG00000088848.3	0	0	0
ENSMUSG00002075225.1	0	0	0
ENSMUSG00000120105.1	101	62	41
ENSMUSG00000041763.15	5848	2952	2898
ENSMUSG00000047343.5	6	4	2
ENSMUSG00000090106.2	0	0	0
ENSMUSG00000091844.3	2	1	1
ENSMUSG00000026049.12	187	95	92
ENSMUSG00000101104.7	1	0	1
ENSMUSG00000026047.14	1322	690	634
ENSMUSG00000041684.12	971	482	491
ENSMUSG00000026048.17	2217	1018	1199
ENSMUSG00000046828.4	1	1	0
